date,value
1945-10-01,0
1946-10-01,0
1947-10-01,0
1948-10-01,0
1949-10-01,0
1950-10-01,0
1951-10-01,0
1952-01-01,0
1952-04-01,0
1952-07-01,0
1952-10-01,0
1953-01-01,0
1953-04-01,0
1953-07-01,0
1953-10-01,0
1954-01-01,0
1954-04-01,0
1954-07-01,0
1954-10-01,0
1955-01-01,0
1955-04-01,0
1955-07-01,0
1955-10-01,0
1956-01-01,0
1956-04-01,0
1956-07-01,0
1956-10-01,0
1957-01-01,0
1957-04-01,0
1957-07-01,0
1957-10-01,0
1958-01-01,0
1958-04-01,0
1958-07-01,0
1958-10-01,0
1959-01-01,0
1959-04-01,0
1959-07-01,0
1959-10-01,0
1960-01-01,0
1960-04-01,0
1960-07-01,0
1960-10-01,0
1961-01-01,0
1961-04-01,0
1961-07-01,0
1961-10-01,0
1962-01-01,0
1962-04-01,0
1962-07-01,0
1962-10-01,0
1963-01-01,0
1963-04-01,0
1963-07-01,0
1963-10-01,0
1964-01-01,0
1964-04-01,0
1964-07-01,0
1964-10-01,0
1965-01-01,0
1965-04-01,0
1965-07-01,0
1965-10-01,0
1966-01-01,0
1966-04-01,0
1966-07-01,0
1966-10-01,0
1967-01-01,0
1967-04-01,0
1967-07-01,0
1967-10-01,0
1968-01-01,0
1968-04-01,0
1968-07-01,0
1968-10-01,0
1969-01-01,0
1969-04-01,0
1969-07-01,0
1969-10-01,0
1970-01-01,0
1970-04-01,0
1970-07-01,0
1970-10-01,0
1971-01-01,0
1971-04-01,0
1971-07-01,0
1971-10-01,0
1972-01-01,0
1972-04-01,0
1972-07-01,0
1972-10-01,0
1973-01-01,0
1973-04-01,0
1973-07-01,0
1973-10-01,0
1974-01-01,0
1974-04-01,0
1974-07-01,0
1974-10-01,0
1975-01-01,0
1975-04-01,0
1975-07-01,0
1975-10-01,0
1976-01-01,0
1976-04-01,0
1976-07-01,0
1976-10-01,0
1977-01-01,0
1977-04-01,0
1977-07-01,0
1977-10-01,0
1978-01-01,0
1978-04-01,0
1978-07-01,0
1978-10-01,0
1979-01-01,0
1979-04-01,0
1979-07-01,0
1979-10-01,0
1980-01-01,0
1980-04-01,0
1980-07-01,0
1980-10-01,0
1981-01-01,0
1981-04-01,0
1981-07-01,0
1981-10-01,0
1982-01-01,0
1982-04-01,0
1982-07-01,0
1982-10-01,0
1983-01-01,0
1983-04-01,220
1983-07-01,2229
1983-10-01,3655
1984-01-01,5630
1984-04-01,7600
1984-07-01,9570
1984-10-01,21339
1985-01-01,25928
1985-04-01,29733
1985-07-01,33294
1985-10-01,37174
1986-01-01,45700
1986-04-01,53248
1986-07-01,59631
1986-10-01,74753
1987-01-01,93231
1987-04-01,104186
1987-07-01,116106
1987-10-01,118339
1988-01-01,130411
1988-04-01,139000
1988-07-01,145804
1988-10-01,154412
1989-01-01,194169
1989-04-01,195175
1989-07-01,196980
1989-10-01,209855
1990-01-01,220160
1990-04-01,235264
1990-07-01,248676
1990-10-01,267731
1991-01-01,278427
1991-04-01,291953
1991-07-01,308848
1991-10-01,320998
1992-01-01,337218
1992-04-01,349834
1992-07-01,365897
1992-10-01,383708
1993-01-01,399289
1993-04-01,415042
1993-07-01,436134
1993-10-01,466191
1994-01-01,490525
1994-04-01,502621
1994-07-01,519538
1994-10-01,536135
1995-01-01,550205
1995-04-01,575986
1995-07-01,616432
1995-10-01,662899
1996-01-01,689635
1996-04-01,721017
1996-07-01,740897
1996-10-01,772264
1997-01-01,778289
1997-04-01,794741
1997-07-01,835118
1997-10-01,907588
1998-01-01,952874
1998-04-01,1028751
1998-07-01,1087891
1998-10-01,1164690
1999-01-01,1214111
1999-04-01,1272383
1999-07-01,1319097
1999-10-01,1324761
2000-01-01,1352886
2000-04-01,1381132
2000-07-01,1420307
2000-10-01,1508470
2001-01-01,1520923
2001-04-01,1571779
2001-07-01,1644423
2001-10-01,1751989
2002-01-01,1802414
2002-04-01,1864240
2002-07-01,1912446
2002-10-01,2009059
2003-01-01,2092392
2003-04-01,2152587
2003-07-01,2198267
2003-10-01,2259581
2004-01-01,2350913
2004-04-01,2469929
2004-07-01,2598515
2004-10-01,2736571
2005-01-01,2909677
2005-04-01,3096402
2005-07-01,3277728
2005-10-01,3498190
2006-01-01,3678031
2006-04-01,3852756
2006-07-01,4038123
2006-10-01,4274202
2007-01-01,4439147
2007-04-01,4598574
2007-07-01,4663270
2007-10-01,4638589
2008-01-01,4583342
2008-04-01,4488471
2008-07-01,4373220
2008-10-01,4228987
2009-01-01,4031797
2009-04-01,3838492
2009-07-01,3637727
2009-10-01,3396623
2010-01-01,2717699
2010-04-01,2581093
2010-07-01,2472937
2010-10-01,2347580
2011-01-01,2261705
2011-04-01,2199889
2011-07-01,2122575
2011-10-01,2071969
2012-01-01,2012518
2012-04-01,1945568
2012-07-01,1884737
2012-10-01,1785292
2013-01-01,1765907
2013-04-01,1563773
2013-07-01,1510837
2013-10-01,1463267
2014-01-01,1413907
2014-04-01,1398523
2014-07-01,1402156
2014-10-01,1398729
2015-01-01,1388373
2015-04-01,1377256
2015-07-01,1335298
2015-10-01,1319592
2016-01-01,1292115
2016-04-01,1252398
2016-07-01,1216198
2016-10-01,1183489
2017-01-01,1147237
2017-04-01,1135924
2017-07-01,1127040
2017-10-01,1121853
2018-01-01,1108416
2018-04-01,1115579
2018-07-01,1115285
2018-10-01,1121223
2019-01-01,1130966
2019-04-01,1134155
2019-07-01,1162087
2019-10-01,1175896
2020-01-01,1230624
2020-04-01,1220209
2020-07-01,1220948
2020-10-01,1226831
2021-01-01,1232582
2021-04-01,1260945
2021-07-01,1315796
2021-10-01,1390763
2022-01-01,1428528
2022-04-01,1456735
2022-07-01,1475732
2022-10-01,1474661
2023-01-01,1489619
2023-04-01,1492255
2023-07-01,1504294
2023-10-01,1514028
2024-01-01,1538155
2024-04-01,1547704
2024-07-01,1602854
2024-10-01,1641997
2025-01-01,1687416
2025-04-01,1732000
2025-07-01,1805175
2025-10-01,1836816
2026-01-01,1882829
