date,value
1946-10-01,1018.0
1947-10-01,1093.0
1948-10-01,1000.0
1949-10-01,1212.0
1950-10-01,1288.0
1951-10-01,2107.0
1952-01-01,573.0
1952-04-01,664.0
1952-07-01,390.0
1952-10-01,693.0
1953-01-01,518.0
1953-04-01,545.0
1953-07-01,315.0
1953-10-01,388.0
1954-01-01,737.0
1954-04-01,522.0
1954-07-01,228.0
1954-10-01,96.0
1955-01-01,531.0
1955-04-01,160.0
1955-07-01,278.0
1955-10-01,750.0
1956-01-01,522.0
1956-04-01,234.0
1956-07-01,573.0
1956-10-01,921.0
1957-01-01,760.0
1957-04-01,903.0
1957-07-01,299.0
1957-10-01,479.0
1958-01-01,221.0
1958-04-01,858.0
1958-07-01,485.0
1958-10-01,404.0
1959-01-01,511.0
1959-04-01,738.0
1959-07-01,260.0
1959-10-01,569.0
1960-01-01,351.0
1960-04-01,369.0
1960-07-01,400.0
1960-10-01,245.0
1961-01-01,670.0
1961-04-01,1168.0
1961-07-01,383.0
1961-10-01,-100.0
1962-01-01,61.0
1962-04-01,144.0
1962-07-01,64.0
1962-10-01,100.0
1963-01-01,-5.0
1963-04-01,-11.0
1963-07-01,96.0
1963-10-01,-421.0
1964-01-01,637.0
1964-04-01,782.0
1964-07-01,187.0
1964-10-01,-461.0
1965-01-01,-56.0
1965-04-01,330.0
1965-07-01,13.0
1965-10-01,-315.0
1966-01-01,-132.0
1966-04-01,1508.0
1966-07-01,267.0
1966-10-01,-384.0
1967-01-01,252.0
1967-04-01,480.0
1967-07-01,736.0
1967-10-01,929.0
1968-01-01,365.0
1968-04-01,530.0
1968-07-01,-476.0
1968-10-01,-578.0
1969-01-01,337.0
1969-04-01,421.0
1969-07-01,990.0
1969-10-01,1658.0
1970-01-01,1317.0
1970-04-01,1195.0
1970-07-01,1114.0
1970-10-01,2083.0
1971-01-01,1990.0
1971-04-01,3321.0
1971-07-01,3839.0
1971-10-01,2296.0
1972-01-01,2259.0
1972-04-01,3422.0
1972-07-01,2604.0
1972-10-01,2739.0
1973-01-01,1727.0
1973-04-01,2143.0
1973-07-01,1314.0
1973-10-01,2643.0
1974-01-01,1551.0
1974-04-01,1208.0
1974-07-01,-32.0
1974-10-01,1289.0
1975-01-01,1949.0
1975-04-01,3229.0
1975-07-01,1693.0
1975-10-01,3045.0
1976-01-01,3164.0
1976-04-01,3507.0
1976-07-01,1836.0
1976-10-01,2048.0
1977-01-01,-157.0
1977-04-01,434.0
1977-07-01,1107.0
1977-10-01,1355.0
1978-01-01,-1610.0
1978-04-01,695.0
1978-07-01,208.0
1978-10-01,602.0
1979-01-01,-1670.0
1979-04-01,-3102.0
1979-07-01,-1881.0
1979-10-01,-1145.0
1980-01-01,1368.0
1980-04-01,884.0
1980-07-01,2542.0
1980-10-01,5634.0
1981-01-01,821.0
1981-04-01,-1335.0
1981-07-01,-6698.0
1981-10-01,-6240.0
1982-01-01,-1881.0
1982-04-01,678.0
1982-07-01,-1877.0
1982-10-01,5018.0
1983-01-01,5746.0
1983-04-01,9293.0
1983-07-01,2139.0
1983-10-01,2936.0
1984-01-01,-15743.0
1984-04-01,-26232.0
1984-07-01,-17893.0
1984-10-01,-18985.0
1985-01-01,-21702.0
1985-04-01,-17492.0
1985-07-01,-19243.0
1985-10-01,-25632.0
1986-01-01,-14916.0
1986-04-01,-21767.0
1986-07-01,-21168.0
1986-10-01,-26805.0
1987-01-01,-10719.0
1987-04-01,-19041.0
1987-07-01,-17543.0
1987-10-01,-28178.0
1988-01-01,-25123.0
1988-04-01,-34788.0
1988-07-01,-20765.0
1988-10-01,-48625.0
1989-01-01,-43094.0
1989-04-01,-24529.0
1989-07-01,-36471.0
1989-10-01,-19885.0
1990-01-01,-17242.0
