date,value
1945-10-01,24000.0
1946-10-01,24995.0
1947-10-01,27843.0
1948-10-01,32137.0
1949-10-01,35036.0
1950-10-01,36705.0
1951-10-01,40061.0
1952-01-01,41201.0
1952-04-01,42647.0
1952-07-01,43816.0
1952-10-01,44828.0
1953-01-01,45627.0
1953-04-01,46567.0
1953-07-01,47147.0
1953-10-01,48414.0
1954-01-01,49314.0
1954-04-01,50208.0
1954-07-01,51583.0
1954-10-01,52078.0
1955-01-01,52555.0
1955-04-01,53159.0
1955-07-01,53624.0
1955-10-01,54926.0
1956-01-01,55348.0
1956-04-01,56235.0
1956-07-01,57414.0
1956-10-01,58418.0
1957-01-01,59863.0
1957-04-01,61295.0
1957-07-01,62852.0
1957-10-01,64494.0
1958-01-01,66653.0
1958-04-01,67808.0
1958-07-01,69258.0
1958-10-01,70373.0
1959-01-01,70959.0
1959-04-01,71627.0
1959-07-01,72264.0
1959-10-01,73109.0
1960-01-01,73643.0
1960-04-01,74654.0
1960-07-01,75671.0
1960-10-01,76985.0
1961-01-01,77200.0
1961-04-01,79256.0
1961-07-01,80254.0
1961-10-01,81705.0
1962-01-01,82568.0
1962-04-01,84073.0
1962-07-01,84921.0
1962-10-01,85841.0
1963-01-01,86793.0
1963-04-01,87682.0
1963-07-01,88336.0
1963-10-01,89382.0
1964-01-01,90039.0
1964-04-01,91251.0
1964-07-01,92139.0
1964-10-01,93533.0
1965-01-01,94189.0
1965-04-01,95668.0
1965-07-01,97560.0
1965-10-01,98057.0
1966-01-01,101043.0
1966-04-01,103651.0
1966-07-01,106689.0
1966-10-01,109096.0
1967-01-01,113294.0
1967-04-01,117478.0
1967-07-01,122009.0
1967-10-01,125166.0
1968-01-01,128216.0
1968-04-01,131662.0
1968-07-01,136491.0
1968-10-01,139274.0
1969-01-01,143342.0
1969-04-01,146673.0
1969-07-01,150311.0
1969-10-01,152431.0
1970-01-01,157352.0
1970-04-01,163008.0
1970-07-01,168834.0
1970-10-01,174363.0
1971-01-01,181120.0
1971-04-01,185270.0
1971-07-01,189398.0
1971-10-01,192699.0
1972-01-01,196912.0
1972-04-01,201580.0
1972-07-01,204465.0
1972-10-01,206450.0
1973-01-01,207245.0
1973-04-01,211128.0
1973-07-01,214618.0
1973-10-01,219254.0
1974-01-01,224325.0
1974-04-01,230873.0
1974-07-01,237971.0
1974-10-01,244828.0
1975-01-01,255988.0
1975-04-01,262522.0
1975-07-01,266725.0
1975-10-01,270946.0
1976-01-01,278936.0
1976-04-01,285306.0
1976-07-01,290926.0
1976-10-01,297550.0
1977-01-01,306725.0
1977-04-01,313376.0
1977-07-01,321380.0
1977-10-01,330331.0
1978-01-01,336927.0
1978-04-01,346165.0
1978-07-01,354093.0
1978-10-01,361647.0
1979-01-01,370486.0
1979-04-01,381010.0
1979-07-01,390698.0
1979-10-01,397935.0
1980-01-01,412546.0
1980-04-01,431934.0
1980-07-01,437794.0
1980-10-01,439987.0
1981-01-01,452914.0
1981-04-01,470467.0
1981-07-01,484375.0
1981-10-01,492918.0
1982-01-01,511578.0
1982-04-01,521903.0
1982-07-01,532166.0
1982-10-01,533603.0
1983-01-01,545830.0
1983-04-01,557500.0
1983-07-01,565894.0
1983-10-01,568188.0
1984-01-01,584561.0
1984-04-01,606582.0
1984-07-01,630042.0
1984-10-01,660216.0
1985-01-01,685075.0
1985-04-01,717806.0
1985-07-01,742619.0
1985-10-01,780402.0
1986-01-01,810766.0
1986-04-01,846331.0
1986-07-01,878036.0
1986-10-01,892043.0
1987-01-01,918406.0
1987-04-01,941146.0
1987-07-01,963518.0
1987-10-01,986175.0
1988-01-01,1011324.0
1988-04-01,1047566.0
1988-07-01,1074802.0
1988-10-01,1102799.0
1989-01-01,1127636.0
1989-04-01,1162621.0
1989-07-01,1181428.0
1989-10-01,1197917.0
1990-01-01,1222979.0
1990-04-01,1242767.0
1990-07-01,1252441.0
1990-10-01,1254454.0
1991-01-01,1276700.0
1991-04-01,1300855.0
1991-07-01,1308215.0
1991-10-01,1313573.0
1992-01-01,1345889.0
1992-04-01,1366738.0
1992-07-01,1379380.0
1992-10-01,1394296.0
1993-01-01,1460069.0
1993-04-01,1517140.0
1993-07-01,1562042.0
1993-10-01,1593863.0
1994-01-01,1643978.0
1994-04-01,1673960.0
1994-07-01,1691955.0
1994-10-01,1711446.0
1995-01-01,1734179.0
1995-04-01,1773316.0
1995-07-01,1784090.0
1995-10-01,1797593.0
1996-01-01,1837097.0
1996-04-01,1873228.0
1996-07-01,1880751.0
1996-10-01,1889281.0
1997-01-01,1931085.0
1997-04-01,1979805.0
1997-07-01,2034658.0
1997-10-01,2046083.0
1998-01-01,2151561.0
1998-04-01,2252070.0
1998-07-01,2295087.0
1998-10-01,2309478.0
1999-01-01,2395716.0
1999-04-01,2466609.0
1999-07-01,2542876.0
1999-10-01,2559067.0
2000-01-01,2634270.0
2000-04-01,2703105.0
2000-07-01,2754174.0
2000-10-01,2751414.0
2001-01-01,2811293.0
2001-04-01,2902655.0
2001-07-01,2922508.0
2001-10-01,2955471.0
2002-01-01,2982797.0
2002-04-01,2995238.0
2002-07-01,2979760.0
2002-10-01,2974326.0
2003-01-01,2983466.0
2003-04-01,3011544.0
2003-07-01,3045379.0
2003-10-01,3032939.0
2004-01-01,3085409.0
2004-04-01,3080630.0
2004-07-01,3087654.0
2004-10-01,3085100.0
2005-01-01,3097283.0
2005-04-01,3095227.0
2005-07-01,3109266.0
2005-10-01,3092486.0
2006-01-01,3118403.0
2006-04-01,3178294.0
2006-07-01,3200399.0
2006-10-01,3246749.0
2007-01-01,3308916.0
2007-04-01,3416480.0
2007-07-01,3428253.0
2007-10-01,3465740.0
2008-01-01,3511347.0
2008-04-01,3614476.0
2008-07-01,3649165.0
2008-10-01,3662725.0
2009-01-01,3742375.0
2009-04-01,3797649.0
2009-07-01,3815121.0
2009-10-01,3841860.0
2010-01-01,3914716.0
2010-04-01,3959624.0
2010-07-01,4048558.0
2010-10-01,4088992.0
2011-01-01,4151490.0
2011-04-01,4210168.0
2011-07-01,4269179.0
2011-10-01,4304368.0
2012-01-01,4402444.0
2012-04-01,4481916.0
2012-07-01,4595755.0
2012-10-01,4714984.0
2013-01-01,4773943.0
2013-04-01,4849768.0
2013-07-01,4988787.0
2013-10-01,5023421.0
2014-01-01,5131078.0
2014-04-01,5227880.0
2014-07-01,5299923.0
2014-10-01,5375359.0
2015-01-01,5504391.0
2015-04-01,5671405.0
2015-07-01,5791548.0
2015-10-01,5820691.0
2016-01-01,5968761.0
2016-04-01,6064669.0
2016-07-01,6142218.0
2016-10-01,6140405.0
2017-01-01,6281051.0
2017-04-01,6368252.0
2017-07-01,6451326.0
2017-10-01,6509144.0
2018-01-01,6610735.0
2018-04-01,6619430.0
2018-07-01,6666512.0
2018-10-01,6677998.0
2019-01-01,6821602.0
2019-04-01,6908842.0
2019-07-01,6999404.0
2019-10-01,6995621.0
2020-01-01,7241572.0
2020-04-01,7644878.0
2020-07-01,7669326.0
2020-10-01,7695056.0
2021-01-01,7842676.0
2021-04-01,7887460.0
2021-07-01,7962561.0
2021-10-01,7954253.0
2022-01-01,8055207.0
2022-04-01,8013829.0
2022-07-01,8022268.0
2022-10-01,8026820.0
2023-01-01,8189690.0
2023-04-01,8209692.0
2023-07-01,8229465.0
2023-10-01,8254228.0
2024-01-01,8383303.0
2024-04-01,8438326.0
2024-07-01,8538270.0
2024-10-01,8518103.0
2025-01-01,8684473.0
2025-04-01,8682205.0
2025-07-01,8749833.0
2025-10-01,8787960.0
2026-01-01,8982885.0
