date,value
1945-10-01,103694.0
1946-10-01,97302.0
1947-10-01,95116.0
1948-10-01,94141.0
1949-10-01,103822.0
1950-10-01,126681.0
1951-10-01,147629.0
1952-01-01,151463.0
1952-04-01,157607.0
1952-07-01,156907.0
1952-10-01,146628.0
1953-01-01,143052.0
1953-04-01,133816.0
1953-07-01,129274.0
1953-10-01,144082.0
1954-01-01,156255.0
1954-04-01,172550.0
1954-07-01,191985.0
1954-10-01,194840.0
1955-01-01,202122.0
1955-04-01,225533.0
1955-07-01,240995.0
1955-10-01,244222.0
1956-01-01,262345.0
1956-04-01,252704.0
1956-07-01,246833.0
1956-10-01,268373.0
1957-01-01,254023.0
1957-04-01,273076.0
1957-07-01,245392.0
1957-10-01,245747.0
1958-01-01,261319.0
1958-04-01,278565.0
1958-07-01,310541.0
1958-10-01,324670.0
1959-01-01,332012.0
1959-04-01,346451.0
1959-07-01,339875.0
1959-10-01,362157.0
1960-01-01,339310.0
1960-04-01,347588.0
1960-07-01,321285.0
1960-10-01,365166.0
1961-01-01,410353.0
1961-04-01,411555.0
1961-07-01,423621.0
1961-10-01,437674.0
1962-01-01,427931.0
1962-04-01,326582.0
1962-07-01,345363.0
1962-10-01,424314.0
1963-01-01,447981.0
1963-04-01,469026.0
1963-07-01,487677.0
1963-10-01,465779.0
1964-01-01,495027.0
1964-04-01,511094.0
1964-07-01,528953.0
1964-10-01,545955.0
1965-01-01,559834.0
1965-04-01,539451.0
1965-07-01,587928.0
1965-10-01,623812.0
1966-01-01,606267.0
1966-04-01,581050.0
1966-07-01,523227.0
1966-10-01,547891.0
1967-01-01,625556.0
1967-04-01,641312.0
1967-07-01,678588.0
1967-10-01,712221.0
1968-01-01,652734.0
1968-04-01,731114.0
1968-07-01,728536.0
1968-10-01,843150.0
1969-01-01,803399.0
1969-04-01,774485.0
1969-07-01,743955.0
1969-10-01,705075.0
1970-01-01,677754.0
1970-04-01,541846.0
1970-07-01,633751.0
1970-10-01,702482.0
1971-01-01,774797.0
1971-04-01,778662.0
1971-07-01,765605.0
1971-10-01,824038.0
1972-01-01,872231.0
1972-04-01,875195.0
1972-07-01,893709.0
1972-10-01,1032948.0
1973-01-01,970789.0
1973-04-01,903834.0
1973-07-01,953723.0
1973-10-01,809566.0
1974-01-01,784355.0
1974-04-01,723428.0
1974-07-01,540503.0
1974-10-01,557656.0
1975-01-01,684995.0
1975-04-01,791700.0
1975-07-01,701766.0
1975-10-01,754897.0
1976-01-01,868276.0
1976-04-01,887750.0
1976-07-01,897381.0
1976-10-01,927412.0
1977-01-01,857111.0
1977-04-01,882073.0
1977-07-01,845309.0
1977-10-01,819176.0
1978-01-01,773891.0
1978-04-01,833210.0
1978-07-01,895811.0
1978-10-01,856335.0
1979-01-01,910897.0
1979-04-01,921144.0
1979-07-01,981163.0
1979-10-01,1014783.0
1980-01-01,956911.0
1980-04-01,1076609.0
1980-07-01,1214006.0
1980-10-01,1346523.0
1981-01-01,1351007.0
1981-04-01,1315862.0
1981-07-01,1136139.0
1981-10-01,1225637.0
1982-01-01,1090438.0
1982-04-01,1073656.0
1982-07-01,1172793.0
1982-10-01,1386479.0
1983-01-01,1533804.0
1983-04-01,1736716.0
1983-07-01,1709522.0
1983-10-01,1630514.0
1984-01-01,1527807.0
1984-04-01,1456011.0
1984-07-01,1543237.0
1984-10-01,1553653.0
1985-01-01,1671498.0
1985-04-01,1744053.0
1985-07-01,1642361.0
1985-10-01,1917631.0
1986-01-01,2137668.0
1986-04-01,2245424.0
1986-07-01,2032679.0
1986-10-01,2241896.0
1987-01-01,2709357.0
1987-04-01,2784821.0
1987-07-01,2945570.0
1987-10-01,2287678.0
1988-01-01,2420352.0
1988-04-01,2516095.0
1988-07-01,2460529.0
1988-10-01,2559333.0
1989-01-01,2670653.0
1989-04-01,2837245.0
1989-07-01,3057566.0
1989-10-01,3140008.0
1990-01-01,3006907.0
1990-04-01,3136251.0
1990-07-01,2654774.0
1990-10-01,2956992.0
1991-01-01,3397923.0
1991-04-01,3355984.0
1991-07-01,3538025.0
1991-10-01,4000417.0
1992-01-01,3914314.0
1992-04-01,3876608.0
1992-07-01,3973482.0
1992-10-01,4369261.0
1993-01-01,4493617.0
1993-04-01,4515232.0
1993-07-01,4646190.0
1993-10-01,4865339.0
1994-01-01,4658750.0
1994-04-01,4573094.0
1994-07-01,4833579.0
1994-10-01,4831577.0
1995-01-01,5203193.0
1995-04-01,5633101.0
1995-07-01,6064628.0
1995-10-01,6449974.0
1996-01-01,6728661.0
1996-04-01,7035650.0
1996-07-01,7100424.0
1996-10-01,7403482.0
1997-01-01,7453443.0
1997-04-01,8595866.0
1997-07-01,9304769.0
1997-10-01,9430052.0
1998-01-01,10786938.0
1998-04-01,10983390.0
1998-07-01,9913099.0
1998-10-01,11882255.0
1999-01-01,12157303.0
1999-04-01,13210244.0
1999-07-01,12700583.0
1999-10-01,15385531.0
2000-01-01,16264941.0
2000-04-01,15615527.0
2000-07-01,15260655.0
2000-10-01,13360919.0
2001-01-01,11800859.0
2001-04-01,12656737.0
2001-07-01,10609398.0
2001-10-01,11943208.0
2002-01-01,12002980.0
2002-04-01,10417510.0
2002-07-01,8666635.0
2002-10-01,9268856.0
2003-01-01,9022544.0
2003-04-01,10367884.0
2003-07-01,10765571.0
2003-10-01,11930291.0
2004-01-01,12338882.0
2004-04-01,12636760.0
2004-07-01,12344757.0
2004-10-01,13516571.0
2005-01-01,13464315.0
2005-04-01,13737498.0
2005-07-01,14223868.0
2005-10-01,14217771.0
2006-01-01,15233106.0
2006-04-01,14745223.0
2006-07-01,15146099.0
2006-10-01,16023053.0
2007-01-01,16656509.0
2007-04-01,17392149.0
2007-07-01,17569548.0
2007-10-01,16914397.0
2008-01-01,15605396.0
2008-04-01,15443463.0
2008-07-01,13819918.0
2008-10-01,11038117.0
2009-01-01,9957738.0
2009-04-01,11351227.0
2009-07-01,12975562.0
2009-10-01,13674040.0
2010-01-01,14221812.0
2010-04-01,12775020.0
2010-07-01,14162417.0
2010-10-01,15565283.0
2011-01-01,16559377.0
2011-04-01,16512309.0
2011-07-01,14187035.0
2011-10-01,15594528.0
2012-01-01,17015723.0
2012-04-01,16542312.0
2012-07-01,17643940.0
2012-10-01,17481854.0
2013-01-01,19636248.0
2013-04-01,19997337.0
2013-07-01,21080170.0
2013-10-01,22681681.0
2014-01-01,23433956.0
2014-04-01,24507532.0
2014-07-01,24318099.0
2014-10-01,25317731.0
2015-01-01,25491764.0
2015-04-01,25183247.0
2015-07-01,23279205.0
2015-10-01,24346537.0
2016-01-01,24758340.0
2016-04-01,25246633.0
2016-07-01,25838959.0
2016-10-01,25851542.0
2017-01-01,27256145.0
2017-04-01,27692720.0
2017-07-01,28455488.0
2017-10-01,30021359.0
2018-01-01,29744422.0
2018-04-01,30842997.0
2018-07-01,32558901.0
2018-10-01,27926917.0
2019-01-01,31841980.0
2019-04-01,32627540.0
2019-07-01,32782644.0
2019-10-01,35066413.0
2020-01-01,28007005.0
2020-04-01,34551843.0
2020-07-01,38115187.0
2020-10-01,43788352.0
2021-01-01,46708637.0
2021-04-01,50527398.0
2021-07-01,50558128.0
2021-10-01,54276033.0
2022-01-01,51244259.0
2022-04-01,42361788.0
2022-07-01,40367310.0
2022-10-01,42064546.0
2023-01-01,45418097.0
2023-04-01,48933431.0
2023-07-01,46927839.0
2023-10-01,51751514.0
2024-01-01,56650780.0
2024-04-01,58193424.0
2024-07-01,61380061.0
2024-10-01,62768040.0
2025-01-01,59428546.0
2025-04-01,65333338.0
2025-07-01,70397225.0
2025-10-01,71994893.0
2026-01-01,70018384.0
2026-04-01,83050847.0
