date,value
1971-01-08,-1.017
1971-01-15,-1.034
1971-01-22,-1.051
1971-01-29,-1.065
1971-02-05,-1.077
1971-02-12,-1.086
1971-02-19,-1.092
1971-02-26,-1.093
1971-03-05,-1.09
1971-03-12,-1.082
1971-03-19,-1.069
1971-03-26,-1.052
1971-04-02,-1.029
1971-04-09,-1.002
1971-04-16,-0.97
1971-04-23,-0.935
1971-04-30,-0.896
1971-05-07,-0.855
1971-05-14,-0.811
1971-05-21,-0.767
1971-05-28,-0.721
1971-06-04,-0.675
1971-06-11,-0.63
1971-06-18,-0.585
1971-06-25,-0.54
1971-07-02,-0.498
1971-07-09,-0.457
1971-07-16,-0.418
1971-07-23,-0.382
1971-07-30,-0.349
1971-08-06,-0.32
1971-08-13,-0.294
1971-08-20,-0.272
1971-08-27,-0.254
1971-09-03,-0.241
1971-09-10,-0.233
1971-09-17,-0.229
1971-09-24,-0.23
1971-10-01,-0.236
1971-10-08,-0.247
1971-10-15,-0.263
1971-10-22,-0.284
1971-10-29,-0.309
1971-11-05,-0.338
1971-11-12,-0.371
1971-11-19,-0.405
1971-11-26,-0.442
1971-12-03,-0.479
1971-12-10,-0.516
1971-12-17,-0.552
1971-12-24,-0.585
1971-12-31,-0.616
1972-01-07,-0.642
1972-01-14,-0.664
1972-01-21,-0.682
1972-01-28,-0.694
1972-02-04,-0.702
1972-02-11,-0.703
1972-02-18,-0.699
1972-02-25,-0.69
1972-03-03,-0.675
1972-03-10,-0.655
1972-03-17,-0.63
1972-03-24,-0.6
1972-03-31,-0.566
1972-04-07,-0.529
1972-04-14,-0.488
1972-04-21,-0.445
1972-04-28,-0.399
1972-05-05,-0.353
1972-05-12,-0.305
1972-05-19,-0.257
1972-05-26,-0.208
1972-06-02,-0.16
1972-06-09,-0.113
1972-06-16,-0.066
1972-06-23,-0.02
1972-06-30,0.025
1972-07-07,0.069
1972-07-14,0.112
1972-07-21,0.154
1972-07-28,0.194
1972-08-04,0.234
1972-08-11,0.273
1972-08-18,0.311
1972-08-25,0.348
1972-09-01,0.385
1972-09-08,0.422
1972-09-15,0.458
1972-09-22,0.494
1972-09-29,0.531
1972-10-06,0.568
1972-10-13,0.607
1972-10-20,0.647
1972-10-27,0.688
1972-11-03,0.732
1972-11-10,0.779
1972-11-17,0.828
1972-11-24,0.881
1972-12-01,0.938
1972-12-08,0.998
1972-12-15,1.062
1972-12-22,1.13
1972-12-29,1.202
1973-01-05,1.277
1973-01-12,1.355
1973-01-19,1.435
1973-01-26,1.517
1973-02-02,1.6
1973-02-09,1.684
1973-02-16,1.767
1973-02-23,1.849
1973-03-02,1.929
1973-03-09,2.007
1973-03-16,2.083
1973-03-23,2.155
1973-03-30,2.223
1973-04-06,2.288
1973-04-13,2.348
1973-04-20,2.403
1973-04-27,2.453
1973-05-04,2.498
1973-05-11,2.537
1973-05-18,2.57
1973-05-25,2.597
1973-06-01,2.619
1973-06-08,2.636
1973-06-15,2.649
1973-06-22,2.657
1973-06-29,2.663
1973-07-06,2.665
1973-07-13,2.667
1973-07-20,2.666
1973-07-27,2.665
1973-08-03,2.664
1973-08-10,2.662
1973-08-17,2.661
1973-08-24,2.66
1973-08-31,2.66
1973-09-07,2.662
1973-09-14,2.664
1973-09-21,2.669
1973-09-28,2.675
1973-10-05,2.683
1973-10-12,2.694
1973-10-19,2.706
1973-10-26,2.72
1973-11-02,2.735
1973-11-09,2.751
1973-11-16,2.767
1973-11-23,2.783
1973-11-30,2.799
1973-12-07,2.815
1973-12-14,2.829
1973-12-21,2.843
1973-12-28,2.857
1974-01-04,2.87
1974-01-11,2.883
1974-01-18,2.897
1974-01-25,2.912
1974-02-01,2.927
1974-02-08,2.944
1974-02-15,2.961
1974-02-22,2.979
1974-03-01,2.998
1974-03-08,3.017
1974-03-15,3.037
1974-03-22,3.057
1974-03-29,3.076
1974-04-05,3.095
1974-04-12,3.114
1974-04-19,3.13
1974-04-26,3.146
1974-05-03,3.16
1974-05-10,3.172
1974-05-17,3.183
1974-05-24,3.191
1974-05-31,3.197
1974-06-07,3.202
1974-06-14,3.203
1974-06-21,3.202
1974-06-28,3.199
1974-07-05,3.191
1974-07-12,3.18
1974-07-19,3.164
1974-07-26,3.142
1974-08-02,3.115
1974-08-09,3.082
1974-08-16,3.042
1974-08-23,2.996
1974-08-30,2.944
1974-09-06,2.885
1974-09-13,2.82
1974-09-20,2.749
1974-09-27,2.673
1974-10-04,2.593
1974-10-11,2.508
1974-10-18,2.421
1974-10-25,2.332
1974-11-01,2.24
1974-11-08,2.147
1974-11-15,2.051
1974-11-22,1.955
1974-11-29,1.856
1974-12-06,1.756
1974-12-13,1.654
1974-12-20,1.55
1974-12-27,1.444
1975-01-03,1.337
1975-01-10,1.229
1975-01-17,1.121
1975-01-24,1.012
1975-01-31,0.902
1975-02-07,0.793
1975-02-14,0.684
1975-02-21,0.576
1975-02-28,0.468
1975-03-07,0.362
1975-03-14,0.256
1975-03-21,0.152
1975-03-28,0.05
1975-04-04,-0.049
1975-04-11,-0.146
1975-04-18,-0.239
1975-04-25,-0.327
1975-05-02,-0.411
1975-05-09,-0.49
1975-05-16,-0.564
1975-05-23,-0.633
1975-05-30,-0.695
1975-06-06,-0.752
1975-06-13,-0.803
1975-06-20,-0.848
1975-06-27,-0.888
1975-07-04,-0.923
1975-07-11,-0.953
1975-07-18,-0.978
1975-07-25,-1.0
1975-08-01,-1.019
