date,value
1947-01-01,19.585
1947-04-01,18.363
1947-07-01,18.111
1947-10-01,19.669
1948-01-01,20.617
1948-04-01,21.572
1948-07-01,21.017
1948-10-01,20.042
1949-01-01,17.937
1949-04-01,15.455
1949-07-01,16.126
1949-10-01,15.896
1950-01-01,16.579
1950-04-01,20.406
1950-07-01,25.023
1950-10-01,27.743
1951-01-01,22.547
1951-04-01,18.483
1951-07-01,16.428
1951-10-01,17.761
1952-01-01,17.427
1952-04-01,16.504
1952-07-01,16.599
1952-10-01,18.673
1953-01-01,19.578
1953-04-01,19.547
1953-07-01,19.117
1953-10-01,14.3
1954-01-01,16.823
1954-04-01,17.377
1954-07-01,18.621
1954-10-01,19.935
1955-01-01,22.731
1955-04-01,23.165
1955-07-01,23.772
1955-10-01,24.884
1956-01-01,24.082
1956-04-01,24.727
1956-07-01,23.207
1956-10-01,24.808
1957-01-01,25.107
1957-04-01,23.593
1957-07-01,22.912
1957-10-01,20.868
1958-01-01,17.623
1958-04-01,17.998
1958-07-01,20.555
1958-10-01,23.789
1959-01-01,25.209
1959-04-01,27.682
1959-07-01,23.928
1959-10-01,22.968
1960-01-01,25.833
1960-04-01,23.395
1960-07-01,22.301
1960-10-01,21.037
1961-01-01,20.145
1961-04-01,22.001
1961-07-01,23.499
1961-10-01,25.721
1962-01-01,26.074
1962-04-01,25.6
1962-07-01,26.496
1962-10-01,26.813
1963-01-01,26.951
1963-04-01,29.171
1963-07-01,30.108
1963-10-01,30.911
1964-01-01,33.867
1964-04-01,33.943
1964-07-01,34.934
1964-10-01,34.593
1965-01-01,39.703
1965-04-01,41.253
1965-07-01,42.211
1965-10-01,44.685
1966-01-01,45.808
1966-04-01,46.206
1966-07-01,45.751
1966-10-01,44.734
1967-01-01,42.662
1967-04-01,42.869
1967-07-01,43.499
1967-10-01,46.192
1968-01-01,44.642
1968-04-01,45.713
1968-07-01,45.846
1968-10-01,47.193
1969-01-01,45.749
1969-04-01,44.048
1969-07-01,42.001
1969-10-01,40.511
1970-01-01,37.491
1970-04-01,36.966
1970-07-01,36.953
1970-10-01,34.135
1971-01-01,40.368
1971-04-01,41.856
1971-07-01,45.115
1971-10-01,46.813
1972-01-01,49.853
1972-04-01,50.478
1972-07-01,53.248
1972-10-01,58.837
1973-01-01,67.767
1973-04-01,69.155
1973-07-01,68.786
1973-10-01,73.2
1974-01-01,77.116
1974-04-01,81.105
1974-07-01,87.166
1974-10-01,76.317
1975-01-01,64.715
1975-04-01,70.25
1975-07-01,86.069
1975-10-01,90.196
1976-01-01,98.427
1976-04-01,100.789
1976-07-01,102.301
1976-10-01,100.768
1977-01-01,108.213
1977-04-01,115.514
1977-07-01,120.039
1977-10-01,121.043
1978-01-01,121.744
1978-04-01,141.067
1978-07-01,143.561
1978-10-01,150.525
1979-01-01,153.228
1979-04-01,155.758
1979-07-01,155.27
1979-10-01,152.337
1980-01-01,153.858
1980-04-01,129.998
1980-07-01,141.088
1980-10-01,150.393
1981-01-01,155.62
1981-04-01,147.732
1981-07-01,153.95
1981-10-01,145.302
1982-01-01,130.011
1982-04-01,127.629
1982-07-01,124.657
1982-10-01,112.811
1983-01-01,112.018
1983-04-01,127.864
1983-07-01,140.63
1983-10-01,143.131
1984-01-01,156.488
