date,value
1945-10-01,50000.0
1946-01-01,50000.0
1946-04-01,126613.75833580043
1946-07-01,299132.7980802362
1946-10-01,240785.78759977414
1947-01-01,605676.0732188935
1947-04-01,956802.917040415
1947-07-01,803201.5120855884
1947-10-01,1198000.6950093103
1948-01-01,1931171.940495783
1948-04-01,2194162.0236050477
1948-07-01,2329830.7330879215
1948-10-01,2514329.929486041
1949-01-01,2888144.1212281813
1949-04-01,2675476.2198513765
1949-07-01,2936573.895595702
1949-10-01,3058957.9082299992
1950-01-01,3740914.1614690106
1950-04-01,3917370.978017771
1950-07-01,4554342.880797651
1950-10-01,4498407.706352149
1951-01-01,4865222.498052848
1951-04-01,5165072.564000655
1951-07-01,5167810.752034459
1951-10-01,5432159.780693694
1952-01-01,5955289.489901594
1952-04-01,6094341.563829944
1952-07-01,5891350.901537503
1952-10-01,6106960.194918142
1953-01-01,6101354.421220014
1953-04-01,6235769.186554044
1953-07-01,6435372.244132764
1953-10-01,6228959.190128884
1954-01-01,6045044.605298715
1954-04-01,6385561.314180096
1954-07-01,6474881.640137675
1954-10-01,6053695.554682533
1955-01-01,6469906.563834567
1955-04-01,6757999.002653127
1955-07-01,6799530.296644006
1955-10-01,6690322.743879446
1956-01-01,7119274.71795803
1956-04-01,7426612.373598138
1956-07-01,8242262.944269156
1956-10-01,8567310.09395039
1957-01-01,8884235.879265895
1957-04-01,9062503.896738755
1957-07-01,9486697.863538953
1957-10-01,9862969.163850991
1958-01-01,10395900.41599229
1958-04-01,10485569.686332969
1958-07-01,10596717.818096979
1958-10-01,10696942.025368983
1959-01-01,11114642.45566373
1959-04-01,11709236.065737912
1959-07-01,11814525.942450587
1959-10-01,11928332.510502314
1960-01-01,12226851.816469764
1960-04-01,12385411.441466538
1960-07-01,12843424.85475151
1960-10-01,12500480.53209675
1961-01-01,12513804.270367526
1961-04-01,12538200.186877165
1961-07-01,12178111.18378063
1961-10-01,12157201.572688429
1962-01-01,12148412.543726947
1962-04-01,12318136.38009724
1962-07-01,12816377.853012307
1962-10-01,12975112.69021463
1963-01-01,12937409.260146841
1963-04-01,13143170.62484346
1963-07-01,13625464.030203797
1963-10-01,13601474.326175071
1964-01-01,13593830.605194708
1964-04-01,13953467.845013265
1964-07-01,14118083.816080565
1964-10-01,14499954.988757933
1965-01-01,14716543.290809108
1965-04-01,15111959.2028315
1965-07-01,15073189.674321339
1965-10-01,15290168.511624271
1966-01-01,15457496.008033482
1966-04-01,15373523.27700745
1966-07-01,15202653.790040277
1966-10-01,15594091.048858942
1967-01-01,15726352.953304447
1967-04-01,15690782.882892614
1967-07-01,15886738.148661781
1967-10-01,16388742.862999108
1968-01-01,16038558.401656127
1968-04-01,15884398.729180295
1968-07-01,15873677.118706478
1968-10-01,16458971.83538656
1969-01-01,16749618.581116384
1969-04-01,17161447.89123169
1969-07-01,17096407.661450133
1969-10-01,17036523.6926325
1970-01-01,17368477.121813178
1970-04-01,17603045.70454704
1970-07-01,17960230.40926307
1970-10-01,18133312.661530957
1971-01-01,18422848.593144614
1971-04-01,18682378.36437089
1971-07-01,19096820.21164212
1971-10-01,19518572.282128237
1972-01-01,19333604.283530295
1972-04-01,18991787.14469508
1972-07-01,19462223.494107958
1972-10-01,19979154.767423443
1973-01-01,19943999.01254511
1973-04-01,19699040.160908703
1973-07-01,19943798.866160505
