date,value
1997-01-01,110917.89090295997
1997-02-01,113035.75871539078
1997-03-01,120711.57075291174
1997-04-01,122274.86822162668
1997-05-01,123002.19726999616
1997-06-01,109609.2876213243
1997-07-01,109681.8085254833
1997-08-01,108965.05103313131
1997-09-01,114587.53062073223
1997-10-01,118585.98896780844
1997-11-01,122272.62907730861
1997-12-01,130487.71436288781
1998-01-01,118963.11570642373
1998-02-01,121166.0890558274
1998-03-01,116647.38785790445
1998-04-01,111637.99965676133
1998-05-01,112394.52427029319
1998-06-01,115024.38802103518
1998-07-01,120538.50017557092
1998-08-01,125654.4912112451
1998-09-01,123195.51107858833
1998-10-01,124513.36248613466
1998-11-01,135635.7623843936
1998-12-01,147819.21715497447
1999-01-01,148477.8306697031
1999-02-01,151534.9353173101
1999-03-01,148657.22793885018
1999-04-01,157320.94127046756
1999-05-01,173717.0425702659
1999-06-01,173006.05069871235
1999-07-01,182563.37320542033
1999-08-01,189483.06885814614
1999-09-01,190976.26794498326
1999-10-01,189299.77840327268
1999-11-01,206670.13026571923
1999-12-01,213767.0106136885
2000-01-01,222018.66740685343
2000-02-01,223249.25117729162
2000-03-01,226115.26376153983
2000-04-01,221314.51748147624
2000-05-01,228379.795270748
2000-06-01,228632.5965387417
2000-07-01,224973.48732197654
2000-08-01,222343.89468978933
2000-09-01,239307.54847248472
2000-10-01,240022.6754223153
2000-11-01,244731.89938097962
2000-12-01,240062.08910468387
2001-01-01,241427.5989690742
2001-02-01,235704.47458470098
2001-03-01,240435.4938598692
2001-04-01,237472.36708580825
2001-05-01,244761.21712767065
2001-06-01,236522.9624765383
2001-07-01,235230.50468810182
2001-08-01,244790.89748538364
2001-09-01,256489.3863019386
2001-10-01,259025.2562401841
2001-11-01,259195.2600579861
2001-12-01,262394.208645172
2002-01-01,277206.1853812353
2002-02-01,278095.519740713
2002-03-01,280616.25690635096
2002-04-01,276798.8883154001
2002-05-01,275232.82452693925
2002-06-01,280376.46429609484
2002-07-01,288235.1358419257
2002-08-01,292549.4944261616
2002-09-01,300033.5763850249
2002-10-01,296530.5340199196
2002-11-01,292432.83396555774
2002-12-01,299699.299422795
2003-01-01,299342.34283008554
2003-02-01,294795.21640380076
2003-03-01,298512.2406974032
2003-04-01,301527.3472903608
2003-05-01,302888.249532294
2003-06-01,314910.298208521
2003-07-01,328658.2398927778
2003-08-01,336916.92619099206
2003-09-01,341993.8965784735
2003-10-01,352774.47002926545
2003-11-01,356221.1811612024
2003-12-01,357558.63793118193
2004-01-01,356556.9460991291
2004-02-01,354363.52740258095
2004-03-01,362431.6597068506
2004-04-01,355920.4953830968
2004-05-01,354854.75752214575
2004-06-01,355232.53613313765
2004-07-01,349288.19360626023
2004-08-01,349439.7701289609
2004-09-01,352502.2553735605
2004-10-01,361165.8452606093
2004-11-01,360629.69873796275
2004-12-01,363733.83957803494
2005-01-01,357268.42514814285
2005-02-01,352469.49387078494
2005-03-01,343547.8682327488
2005-04-01,351921.16631488636
2005-05-01,352453.99762576673
2005-06-01,356279.75011365575
2005-07-01,361920.7356382923
2005-08-01,369271.5768394107
2005-09-01,383803.6926239316
2005-10-01,386055.7156546482
2005-11-01,384286.4748077781
2005-12-01,390976.5521581232
2006-01-01,407653.9249575059
2006-02-01,406918.86879637884
2006-03-01,404648.99258305586
2006-04-01,391819.2054475758
2006-05-01,381916.5612705597
2006-06-01,392932.8308692681
2006-07-01,394391.6932776681
2006-08-01,390065.08432773466
2006-09-01,392583.3228951959
2006-10-01,410691.1085275518
2006-11-01,413216.25195608725
2006-12-01,427204.4314343165
2007-01-01,424082.85233390605
2007-02-01,435344.61707162706
2007-03-01,434478.1695329865
2007-04-01,432360.40291994106
2007-05-01,429222.9975760619
2007-06-01,429779.3628777948
2007-07-01,438134.75539874955
2007-08-01,437744.5592116655
2007-09-01,446662.4992151818
2007-10-01,444858.32666247187
2007-11-01,446865.94329070963
2007-12-01,446181.41045439587
2008-01-01,459552.97131846764
2008-02-01,465158.130865671
2008-03-01,469363.41889612476
2008-04-01,470190.20363280503
2008-05-01,469192.87734542775
2008-06-01,465653.3329074624
2008-07-01,476085.25965855573
2008-08-01,468898.1850127993
2008-09-01,469224.23946694995
2008-10-01,477019.5606595411
2008-11-01,469467.53759159177
2008-12-01,473037.17041737266
2009-01-01,470313.54289979674
2009-02-01,472973.39373384515
2009-03-01,474462.08102878486
2009-04-01,463432.7525811627
2009-05-01,469760.6548106147
2009-06-01,466333.7876146145
2009-07-01,465541.5839553761
2009-08-01,468345.72084935533
2009-09-01,473099.9526826999
2009-10-01,478284.249425683
2009-11-01,485529.4446330871
2009-12-01,473223.6498246905
2010-01-01,478620.27908600925
2010-02-01,481186.1007733556
2010-03-01,480365.7667823502
