date,credit_gdp_gap,abs_gdp,market_debt_share,sloos_ci,cape,buffett,courbe_10a3m,m2_yoy,taux_reel_10a,baa_aaa_spread,vix,nfci_leverage,margin_loans_z1,current_account_gdp,top1_wealth_share,net_equity_issuance_gdp,corp_debt_to_profits
1881-01-01,,,,,,,,,,,,,,,,,
1881-02-01,,,,,,,,,,,,,,,,,
1881-03-01,,,,,,,,,,,,,,,,,
1881-04-01,,,,,,,,,,,,,,,,,
1881-05-01,,,,,,,,,,,,,,,,,
1881-06-01,,,,,,,,,,,,,,,,,
1881-07-01,,,,,,,,,,,,,,,,,
1881-08-01,,,,,,,,,,,,,,,,,
1881-09-01,,,,,,,,,,,,,,,,,
1881-10-01,,,,,,,,,,,,,,,,,
1881-11-01,,,,,,,,,,,,,,,,,
1881-12-01,,,,,,,,,,,,,,,,,
1882-01-01,,,,,,,,,,,,,,,,,
1882-02-01,,,,,,,,,,,,,,,,,
1882-03-01,,,,,,,,,,,,,,,,,
1882-04-01,,,,,,,,,,,,,,,,,
1882-05-01,,,,,,,,,,,,,,,,,
1882-06-01,,,,,,,,,,,,,,,,,
1882-07-01,,,,,,,,,,,,,,,,,
1882-08-01,,,,,,,,,,,,,,,,,
1882-09-01,,,,,,,,,,,,,,,,,
1882-10-01,,,,,,,,,,,,,,,,,
1882-11-01,,,,,,,,,,,,,,,,,
1882-12-01,,,,,,,,,,,,,,,,,
1883-01-01,,,,,,,,,,,,,,,,,
1883-02-01,,,,,,,,,,,,,,,,,
1883-03-01,,,,,,,,,,,,,,,,,
1883-04-01,,,,,,,,,,,,,,,,,
1883-05-01,,,,,,,,,,,,,,,,,
1883-06-01,,,,,,,,,,,,,,,,,
1883-07-01,,,,,,,,,,,,,,,,,
1883-08-01,,,,,,,,,,,,,,,,,
1883-09-01,,,,,,,,,,,,,,,,,
1883-10-01,,,,,,,,,,,,,,,,,
1883-11-01,,,,,,,,,,,,,,,,,
1883-12-01,,,,,,,,,,,,,,,,,
1884-01-01,,,,,,,,,,,,,,,,,
1884-02-01,,,,,,,,,,,,,,,,,
1884-03-01,,,,,,,,,,,,,,,,,
1884-04-01,,,,,,,,,,,,,,,,,
1884-05-01,,,,,,,,,,,,,,,,,
1884-06-01,,,,,,,,,,,,,,,,,
1884-07-01,,,,,,,,,,,,,,,,,
1884-08-01,,,,,,,,,,,,,,,,,
1884-09-01,,,,,,,,,,,,,,,,,
1884-10-01,,,,,,,,,,,,,,,,,
1884-11-01,,,,,,,,,,,,,,,,,
1884-12-01,,,,,,,,,,,,,,,,,
1885-01-01,,,,,,,,,,,,,,,,,
1885-02-01,,,,,,,,,,,,,,,,,
1885-03-01,,,,,,,,,,,,,,,,,
1885-04-01,,,,,,,,,,,,,,,,,
1885-05-01,,,,,,,,,,,,,,,,,
1885-06-01,,,,,,,,,,,,,,,,,
1885-07-01,,,,,,,,,,,,,,,,,
1885-08-01,,,,,,,,,,,,,,,,,
1885-09-01,,,,,,,,,,,,,,,,,
1885-10-01,,,,,,,,,,,,,,,,,
1885-11-01,,,,,,,,,,,,,,,,,
1885-12-01,,,,,,,,,,,,,,,,,
1886-01-01,,,,,,,,,,,,,,,,,
1886-02-01,,,,,,,,,,,,,,,,,
1886-03-01,,,,,,,,,,,,,,,,,
1886-04-01,,,,,,,,,,,,,,,,,
1886-05-01,,,,,,,,,,,,,,,,,
1886-06-01,,,,,,,,,,,,,,,,,
1886-07-01,,,,,,,,,,,,,,,,,
1886-08-01,,,,,,,,,,,,,,,,,
1886-09-01,,,,,,,,,,,,,,,,,
1886-10-01,,,,,,,,,,,,,,,,,
1886-11-01,,,,,,,,,,,,,,,,,
1886-12-01,,,,,,,,,,,,,,,,,
1887-01-01,,,,,,,,,,,,,,,,,
1887-02-01,,,,,,,,,,,,,,,,,
1887-03-01,,,,,,,,,,,,,,,,,
1887-04-01,,,,,,,,,,,,,,,,,
1887-05-01,,,,,,,,,,,,,,,,,
1887-06-01,,,,,,,,,,,,,,,,,
1887-07-01,,,,,,,,,,,,,,,,,
1887-08-01,,,,,,,,,,,,,,,,,
1887-09-01,,,,,,,,,,,,,,,,,
1887-10-01,,,,,,,,,,,,,,,,,
1887-11-01,,,,,,,,,,,,,,,,,
1887-12-01,,,,,,,,,,,,,,,,,
1888-01-01,,,,,,,,,,,,,,,,,
1888-02-01,,,,,,,,,,,,,,,,,
1888-03-01,,,,,,,,,,,,,,,,,
1888-04-01,,,,,,,,,,,,,,,,,
1888-05-01,,,,,,,,,,,,,,,,,
1888-06-01,,,,,,,,,,,,,,,,,
1888-07-01,,,,,,,,,,,,,,,,,
1888-08-01,,,,,,,,,,,,,,,,,
1888-09-01,,,,,,,,,,,,,,,,,
1888-10-01,,,,,,,,,,,,,,,,,
1888-11-01,,,,,,,,,,,,,,,,,
1888-12-01,,,,,,,,,,,,,,,,,
1889-01-01,,,,,,,,,,,,,,,,,
1889-02-01,,,,,,,,,,,,,,,,,
1889-03-01,,,,,,,,,,,,,,,,,
1889-04-01,,,,,,,,,,,,,,,,,
1889-05-01,,,,,,,,,,,,,,,,,
1889-06-01,,,,,,,,,,,,,,,,,
1889-07-01,,,,,,,,,,,,,,,,,
1889-08-01,,,,,,,,,,,,,,,,,
1889-09-01,,,,,,,,,,,,,,,,,
1889-10-01,,,,,,,,,,,,,,,,,
1889-11-01,,,,,,,,,,,,,,,,,
1889-12-01,,,,,,,,,,,,,,,,,
1890-01-01,,,,,,,,,,,,,,,,,
1890-02-01,,,,,,,,,,,,,,,,,
1890-03-01,,,,,,,,,,,,,,,,,
1890-04-01,,,,,,,,,,,,,,,,,
1890-05-01,,,,,,,,,,,,,,,,,
1890-06-01,,,,,,,,,,,,,,,,,
1890-07-01,,,,,,,,,,,,,,,,,
1890-08-01,,,,,,,,,,,,,,,,,
1890-09-01,,,,,,,,,,,,,,,,,
1890-10-01,,,,,,,,,,,,,,,,,
1890-11-01,,,,,,,,,,,,,,,,,
1890-12-01,,,,,-1.0412065092908065,,,,,,,,,,,,
1891-01-01,,,,,-0.3689467798678127,,,,,,,,,,,,
1891-02-01,,,,,-0.334971267833381,,,,,,,,,,,,
1891-03-01,,,,,-0.6225127618683798,,,,,,,,,,,,
1891-04-01,,,,,-0.375391764036275,,,,,,,,,,,,
1891-05-01,,,,,-0.2656765667219999,,,,,,,,,,,,
1891-06-01,,,,,-0.20140008705707532,,,,,,,,,,,,
1891-07-01,,,,,-0.22843495579212278,,,,,,,,,,,,
1891-08-01,,,,,0.15161025520614385,,,,,,,,,,,,
1891-09-01,,,,,1.2223089845915864,,,,,,,,,,,,
1891-10-01,,,,,1.2142731514362575,,,,,,,,,,,,
1891-11-01,,,,,1.1722427836999847,,,,,,,,,,,,
1891-12-01,,,,,1.5246644070392965,,,,,,,,,,,,
1892-01-01,,,,,2.044355092758212,,,,,,,,,,,,
1892-02-01,,,,,2.0185299360844335,,,,,,,,,,,,
