signe,n_alertes,n_faux,taux_faux,debut,fin
credit,372,297,0.7983870967741935,1956-03-01 00:00:00,2026-04-01 00:00:00
standards_pret,139,127,0.9136690647482014,1995-03-01 00:00:00,2026-07-01 00:00:00
survalorisation,763,632,0.8283093053735255,1890-12-01 00:00:00,2026-09-01 00:00:00
monetaire,185,122,0.6594594594594595,1969-12-01 00:00:00,2026-09-01 00:00:00
prime_risque,603,549,0.9104477611940298,1928-12-01 00:00:00,2026-09-01 00:00:00
fragilite,72,44,0.6111111111111112,1980-12-01 00:00:00,2026-09-01 00:00:00
surchauffe,235,178,0.7574468085106383,1959-09-01 00:00:00,2026-04-01 00:00:00
desequilibres,547,439,0.8025594149908593,1956-12-01 00:00:00,2026-04-01 00:00:00
inegalites,284,224,0.7887323943661971,1999-06-01 00:00:00,2026-01-01 00:00:00
reflexivite,508,420,0.8267716535433071,1959-09-01 00:00:00,2026-04-01 00:00:00
ponzi,434,357,0.8225806451612904,1957-05-01 00:00:00,2026-04-01 00:00:00
