date_execution,date_donnees,z_credit,couleur_credit,date_credit,z_euphorie,couleur_euphorie,date_euphorie,z_standards_pret,couleur_standards_pret,date_standards_pret,z_survalorisation,couleur_survalorisation,date_survalorisation,z_monetaire,couleur_monetaire,date_monetaire,z_prime_risque,couleur_prime_risque,date_prime_risque,composite,couleur_composite,couverture,z_fragilite,couleur_fragilite,date_fragilite,z_surchauffe,couleur_surchauffe,date_surchauffe,z_desequilibres,couleur_desequilibres,date_desequilibres,z_inegalites,couleur_inegalites,date_inegalites,z_dereglementation,couleur_dereglementation,date_dereglementation,z_narratif,couleur_narratif,date_narratif,z_reflexivite,couleur_reflexivite,date_reflexivite,z_ponzi,couleur_ponzi,date_ponzi,pire_signe,z_pire,n_orange,n_rouge,couleur_entete,moyenne_indicative,z_pire_socle_ab,moyenne_socle_ab,z_pire_socle_a
2026-07-06,2026-07-01,0.602,orange,2026-01,,gris,,-0.063,vert,2026-04,2.86,rouge,2026-07,-0.267,vert,2026-07,0.444,vert,2026-07,0.583,orange,0.786,0.47,vert,2026-06,0.802,orange,2026-01,0.904,orange,2026-01,1.487,orange,2026-01,,gris,,,gris,,-0.727,vert,2026-01,-0.667,vert,2026-01,survalorisation,2.86,4,1,rouge,0.583,2.86,0.526,2.86
2026-07-07,2026-07-01,0.602,orange,2026-01,,gris,,-0.063,vert,2026-04,2.86,rouge,2026-07,-0.264,vert,2026-07,0.444,vert,2026-07,0.582,orange,0.786,0.47,vert,2026-06,0.802,orange,2026-01,0.904,orange,2026-01,1.487,orange,2026-01,,gris,,,gris,,-0.727,vert,2026-01,-0.667,vert,2026-01,survalorisation,2.86,4,1,rouge,0.582,2.86,0.523,2.86
2026-07-08,2026-07-01,0.602,orange,2026-01,,gris,,-0.063,vert,2026-04,2.919,rouge,2026-01,-0.267,vert,2026-07,0.464,vert,2026-07,0.59,orange,0.786,0.47,vert,2026-06,0.802,orange,2026-01,0.904,orange,2026-01,1.487,orange,2026-01,,gris,,,gris,,-0.727,vert,2026-01,-0.667,vert,2026-01,survalorisation,2.919,4,1,rouge,0.59,2.919,0.531,2.919
2026-07-09,2026-07-01,0.602,orange,2026-01,,gris,,-0.063,vert,2026-04,3.109,rouge,2026-07,-0.277,vert,2026-07,0.462,vert,2026-07,0.603,orange,0.786,0.404,vert,2026-07,0.802,orange,2026-01,0.904,orange,2026-01,1.487,orange,2026-01,,gris,,,gris,,-0.727,vert,2026-01,-0.667,vert,2026-01,survalorisation,3.109,4,1,rouge,0.603,3.109,0.547,3.109
2026-07-10,2026-07-01,0.602,orange,2026-01,,gris,,-0.063,vert,2026-04,3.109,rouge,2026-07,-0.285,vert,2026-07,0.442,vert,2026-07,0.601,orange,0.786,0.404,vert,2026-07,0.802,orange,2026-01,0.904,orange,2026-01,1.487,orange,2026-01,,gris,,,gris,,-0.727,vert,2026-01,-0.667,vert,2026-01,survalorisation,3.109,4,1,rouge,0.601,3.109,0.544,3.109
2026-07-11,2026-07-01,0.602,orange,2026-01,,gris,,-0.063,vert,2026-04,3.109,rouge,2026-07,-0.29,vert,2026-07,0.449,vert,2026-07,0.601,orange,0.786,0.404,vert,2026-07,0.802,orange,2026-01,0.904,orange,2026-01,1.487,orange,2026-01,,gris,,,gris,,-0.727,vert,2026-01,-0.667,vert,2026-01,survalorisation,3.109,4,1,rouge,0.601,3.109,0.544,3.109
2026-07-12,2026-07-01,0.602,orange,2026-01,,gris,,-0.063,vert,2026-04,3.109,rouge,2026-07,-0.29,vert,2026-07,0.449,vert,2026-07,0.601,orange,0.786,0.404,vert,2026-07,0.802,orange,2026-01,0.904,orange,2026-01,1.487,orange,2026-01,,gris,,,gris,,-0.727,vert,2026-01,-0.667,vert,2026-01,survalorisation,3.109,4,1,rouge,0.601,3.109,0.544,3.109
2026-07-13,2026-07-01,0.602,orange,2026-01,,gris,,-0.063,vert,2026-04,3.109,rouge,2026-07,-0.29,vert,2026-07,0.449,vert,2026-07,0.601,orange,0.786,0.404,vert,2026-07,0.802,orange,2026-01,0.904,orange,2026-01,1.487,orange,2026-01,,gris,,,gris,,-0.727,vert,2026-01,-0.667,vert,2026-01,survalorisation,3.109,4,1,rouge,0.601,3.109,0.544,3.109
2026-07-14,2026-07-01,0.602,orange,2026-01,,gris,,-0.063,vert,2026-04,3.109,rouge,2026-07,-0.296,vert,2026-07,0.468,vert,2026-07,0.601,orange,0.786,0.404,vert,2026-07,0.802,orange,2026-01,0.904,orange,2026-01,1.487,orange,2026-01,,gris,,,gris,,-0.727,vert,2026-01,-0.667,vert,2026-01,survalorisation,3.109,4,1,rouge,0.601,3.109,0.544,3.109
2026-07-15,2026-07-01,0.602,orange,2026-01,,gris,,-0.063,vert,2026-04,3.109,rouge,2026-07,-0.303,vert,2026-07,0.451,vert,2026-07,0.599,orange,0.786,0.404,vert,2026-07,0.802,orange,2026-01,0.904,orange,2026-01,1.487,orange,2026-01,,gris,,,gris,,-0.727,vert,2026-01,-0.667,vert,2026-01,survalorisation,3.109,4,1,rouge,0.599,3.109,0.542,3.109
2026-07-16,2026-07-01,0.602,orange,2026-01,,gris,,-0.063,vert,2026-04,3.109,rouge,2026-07,-0.307,vert,2026-07,0.446,vert,2026-07,0.592,orange,0.786,0.338,vert,2026-07,0.802,orange,2026-01,0.904,orange,2026-01,1.487,orange,2026-01,,gris,,,gris,,-0.727,vert,2026-01,-0.667,vert,2026-01,survalorisation,3.109,4,1,rouge,0.592,3.109,0.534,3.109
