signe,puissance_A,fausses_alertes_B,nsr,n_krachs_couverts,n_krachs_persistants,n_mois_fenetre,n_mois_calmes,poids_actuel,indicatif,bruite,racine_inv_nsr,plafonne,plancher_applique,poids_final
fragilite,0.2692307692307692,0.06084656084656084,0.22600151171579744,4.0,1.0,52.0,378.0,7.94,True,False,2.10350877437666,True,False,7.9390909090909085
monetaire,0.5076923076923077,0.20985010706638116,0.4133411199792356,5.0,3.0,65.0,467.0,11.3,False,False,1.5554128912177645,False,False,11.305077572860132
survalorisation,0.7362637362637363,0.43190368698269377,0.5866154554541064,7.0,6.0,91.0,1329.0,9.52,False,False,1.3056394067442165,False,False,9.489669822570564
credit,0.6,0.3588516746411483,0.5980861244019139,5.0,3.0,65.0,627.0,9.33,False,False,1.2930583900195691,False,False,9.398228269770884
desequilibres,0.9692307692307692,0.587378640776699,0.6060255817537371,5.0,5.0,65.0,618.0,9.37,False,False,1.2845603758431396,False,False,9.336462863284776
surchauffe,0.38461538461538464,0.27863247863247864,0.7244444444444444,5.0,1.0,65.0,585.0,7.94,True,False,1.1748906749819361,True,False,7.9390909090909085
ponzi,0.6,0.47797716150081565,0.7966286025013595,5.0,3.0,65.0,613.0,8.14,False,False,1.1203972966716218,False,False,8.14329006967331
inegalites,1.0,0.895,0.895,3.0,3.0,30.0,200.0,7.7,True,False,1.05703284516338,False,False,7.68274352045346
reflexivite,0.7076923076923077,0.6615384615384615,0.9347826086956521,5.0,4.0,65.0,585.0,7.51,False,False,1.0342956259505622,False,False,7.517484489592026
prime_risque,0.25609756097560976,0.6020408163265306,2.3508260447035956,7.0,2.0,82.0,882.0,4.76,True,True,0.6522134538761942,False,False,4.7404285587222335
standards_pret,0.1282051282051282,0.4596774193548387,3.585483870967742,3.0,0.0,39.0,248.0,3.82,True,True,0.5281120943185661,False,False,3.8384330148907977
